,AppID,Name,Supported languages,Release date,Windows,Mac,Linux,Categories,Tags,Genres,metadata_win,metadata_linux,metadata_mac,full_metadata
35794,1771180,No Fair Play,English,"Sep 9, 2022",True,False,False,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Partial Controller Support,Stats,Steam Leaderboards","Sports,e-sports,Spectacle fighter,Third Person,Martial Arts,Soccer,Physics,Indie,Early Access,Action,Simulation,Multiplayer","Action,Indie,Simulation,Sports,Early Access", Windows , , ,No Fair Play English Single-player Multi-player PvP Online PvP Co-op Online Co-op Partial Controller Support Stats Steam Leaderboards Sports e-sports Spectacle fighter Third Person Martial Arts Soccer Physics Indie Early Access Action Simulation Multiplayer Action Indie Simulation Sports Early Access  Windows     
35724,2025780,Panda legend,Simplified Chinese English,"Sep 9, 2022",True,False,False,Single-player,"Action Roguelike,Spectacle fighter,3D Platformer,Souls-like,Hack and Slash,Martial Arts,3D Fighter,Action RPG,Action-Adventure,3D,Third Person,Parody,Action,Open World,Nonlinear,Cartoony,Assassin,Loot,Fantasy,Dog","Action,Adventure,Indie,RPG", Windows , , ,Panda legend Simplified Chinese English Single-player Action Roguelike Spectacle fighter 3D Platformer Souls-like Hack and Slash Martial Arts 3D Fighter Action RPG Action-Adventure 3D Third Person Parody Action Open World Nonlinear Cartoony Assassin Loot Fantasy Dog Action Adventure Indie RPG  Windows     
35752,1156380,One Dreamer,English,"Sep 9, 2022",True,True,True,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Logic,Story Rich,Programming,Adventure,Indie,Point & Click,Pixel Graphics,Game Development,Puzzle-Platformer,Casual,Side Scroller,Linear,Narrative,Atmospheric,2.5D,2D,Singleplayer,Emotional,Soundtrack,Puzzle","Adventure,Indie", Windows , Linux , Mac ,One Dreamer English Single-player Steam Achievements Full controller support Steam Cloud Logic Story Rich Programming Adventure Indie Point & Click Pixel Graphics Game Development Puzzle-Platformer Casual Side Scroller Linear Narrative Atmospheric 2.5D 2D Singleplayer Emotional Soundtrack Puzzle Adventure Indie  Windows   Linux   Mac 
35785,2127230,MOONPONG: Tales of Epic Lunacy,English,"Sep 9, 2022",True,False,False,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Arcade,Psychedelic,Indie,Music,Colorful,Funny,Action Roguelike,Fast-Paced,Replay Value,Choices Matter,Rogue-lite,Spectacle fighter,Beat 'em up,Cute,Retro,Pixel Graphics,Controller,Perma Death,Stylized,Rogue-like","Action,Indie", Windows , , ,MOONPONG: Tales of Epic Lunacy English Single-player Steam Achievements Full controller support Steam Cloud Arcade Psychedelic Indie Music Colorful Funny Action Roguelike Fast-Paced Replay Value Choices Matter Rogue-lite Spectacle fighter Beat  em up Cute Retro Pixel Graphics Controller Perma Death Stylized Rogue-like Action Indie  Windows     
35715,1141580,Taiji,English,"Sep 9, 2022",True,False,False,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Puzzle,Nonlinear,Walking Simulator,Difficult,Adventure,Top-Down,Hidden Object,Exploration,Relaxing,Controller,Surreal,Open World,Pixel Graphics,Female Protagonist,Minimalist,Stylized,Logic,Mystery,Casual,Nature","Adventure,Indie", Windows , , ,Taiji English Single-player Steam Achievements Full controller support Steam Cloud Puzzle Nonlinear Walking Simulator Difficult Adventure Top-Down Hidden Object Exploration Relaxing Controller Surreal Open World Pixel Graphics Female Protagonist Minimalist Stylized Logic Mystery Casual Nature Adventure Indie  Windows     
35783,1337970,CatTuber,English Simplified Chinese,"Sep 9, 2022",True,False,False,,,"Animation & Modeling,Utilities,Video Production,Early Access", Windows , , ,CatTuber English Simplified Chinese   Animation & Modeling Utilities Video Production Early Access  Windows     
35719,1293730,Broken Pieces,English French German Spanish - Spain Simplified Chinese Italian Japanese Korean Hungarian Portuguese - Brazil Russian,"Sep 9, 2022",True,False,False,"Single-player,Steam Achievements,Full controller support","Adventure,Action,Female Protagonist,Atmospheric,Psychological Horror,Story Rich,Third Person,Singleplayer,Puzzle,Exploration,Supernatural,Investigation,Sci-fi,Thriller,Cinematic,Mystery,Narrative,Surreal,Time Travel,Point & Click","Action,Adventure,Indie,Strategy", Windows , , ,Broken Pieces English French German Spanish - Spain Simplified Chinese Italian Japanese Korean Hungarian Portuguese - Brazil Russian Single-player Steam Achievements Full controller support Adventure Action Female Protagonist Atmospheric Psychological Horror Story Rich Third Person Singleplayer Puzzle Exploration Supernatural Investigation Sci-fi Thriller Cinematic Mystery Narrative Surreal Time Travel Point & Click Action Adventure Indie Strategy  Windows     
35782,2121430,Fall Minamo,English Japanese,"Sep 9, 2022",True,False,False,"Single-player,Steam Achievements,Partial Controller Support",,"Action,Casual,Free to Play,Indie", Windows , , ,Fall Minamo English Japanese Single-player Steam Achievements Partial Controller Support  Action Casual Free to Play Indie  Windows     
35720,2088360,Watch Your Plastic Duck,English French Italian German Spanish - Spain Bulgarian Hungarian Danish Dutch Norwegian Polish Portuguese - Portugal Romanian Russian Turkish Ukrainian Finnish Czech Swedish Greek Belarusian Irish Icelandic Catalan Latvian Lithuanian Serbian Croatian Estonian,"Sep 9, 2022",True,False,False,"Single-player,Steam Achievements,Steam Cloud","Casual,Simulation,Idler,Immersive Sim,2D,Cute,Pixel Graphics,Singleplayer,Relaxing,Sandbox,Collectathon,Stylized,Colorful,Atmospheric,Memes,Funny,Modern,Family Friendly,Comedy,6DOF","Casual,Indie,Simulation", Windows , , ,Watch Your Plastic Duck English French Italian German Spanish - Spain Bulgarian Hungarian Danish Dutch Norwegian Polish Portuguese - Portugal Romanian Russian Turkish Ukrainian Finnish Czech Swedish Greek Belarusian Irish Icelandic Catalan Latvian Lithuanian Serbian Croatian Estonian Single-player Steam Achievements Steam Cloud Casual Simulation Idler Immersive Sim 2D Cute Pixel Graphics Singleplayer Relaxing Sandbox Collectathon Stylized Colorful Atmospheric Memes Funny Modern Family Friendly Comedy 6DOF Casual Indie Simulation  Windows     
35772,2067590,Upload Simulator,English French Italian German Korean Spanish - Latin America Finnish Dutch Japanese Norwegian Polish Portuguese - Brazil Romanian Russian Turkish Ukrainian Vietnamese,"Sep 9, 2022",True,False,True,Single-player,"Idler,Clicker,Software,Simulation,Sci-fi,Management,2D,Futuristic,Relaxing,Singleplayer,Indie,Point & Click,Resource Management","Indie,Simulation", Windows , Linux , ,Upload Simulator English French Italian German Korean Spanish - Latin America Finnish Dutch Japanese Norwegian Polish Portuguese - Brazil Romanian Russian Turkish Ukrainian Vietnamese Single-player Idler Clicker Software Simulation Sci-fi Management 2D Futuristic Relaxing Singleplayer Indie Point & Click Resource Management Indie Simulation  Windows   Linux   
